Reciprocal In Out
4.0 1.0 6.0
23.0 0.0 1.0
0.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
12.0 1.0 1.0
0.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
10.0 1.0 2.0
0.0 0.0 0.0
1.0 0.0 0.0
2.0 0.0 0.0
1.0 1.0 1.0
14.0 18.0 5.0
1.0 0.0 0.0
2.0 0.0 0.0
29.0 1.0 15.0
2.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
15.0 1.0 1.0
0.0 0.0 0.0
1.0 0.0 0.0
7.0 8.0 88.0
2.0 1.0 0.0
1.0 0.0 1.0
0.0 0.0 0.0
7.0 0.0 0.0
44.0 19.0 64.0
0.0 0.0 0.0
0.0 0.0 0.0
1.0 1.0 1.0
0.0 0.0 0.0
17.0 0.0 0.0
2.0 0.0 0.0
1.0 0.0 0.0
17.0 4.0 38.0
0.0 0.0 0.0
5.0 0.0 1.0
1.0 0.0 0.0
1.0 0.0 0.0
6.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
1.0 1.0 0.0
1.0 0.0 1.0
7.0 1.0 0.0
0.0 0.0 0.0
34.0 49.0 97.0
4.0 4.0 16.0
0.0 0.0 0.0
22.0 6.0 5.0
4.0 0.0 1.0
1.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
4.0 5.0 1.0
4.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
2.0 0.0 1.0
0.0 0.0 0.0
3.0 0.0 0.0
0.0 0.0 0.0
5.0 7.0 0.0
21.0 1.0 3.0
1.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
16.0 1.0 21.0
1.0 0.0 0.0
3.0 0.0 0.0
59.0 14.0 349.0
2.0 0.0 1.0
0.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
6.0 1.0 0.0
3.0 5.0 191.0
0.0 0.0 0.0
2.0 0.0 1.0
0.0 0.0 0.0
2.0 0.0 0.0
3.0 1.0 0.0
0.0 0.0 0.0
3.0 1.0 1.0
0.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
2.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
3.0 1.0 0.0
1.0 0.0 1.0
26.0 14.0 69.0
24.0 4.0 9.0
24.0 11.0 127.0
6.0 0.0 0.0
1.0 1.0 0.0
1.0 0.0 0.0
1.0 0.0 1.0
1.0 0.0 0.0
7.0 1.0 1.0
27.0 6.0 46.0
4.0 0.0 0.0
1.0 0.0 0.0
1.0 2.0 0.0
4.0 1.0 0.0
3.0 0.0 0.0
43.0 37.0 241.0
3.0 1.0 1.0
1.0 0.0 0.0
3.0 0.0 0.0
2.0 0.0 1.0
31.0 6.0 82.0
11.0 2.0 27.0
1.0 0.0 0.0
1.0 1.0 1.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
12.0 9.0 128.0
15.0 1.0 0.0
1.0 0.0 0.0
3.0 0.0 1.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
4.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
2.0 1.0 0.0
0.0 0.0 0.0
2.0 0.0 0.0
4.0 1.0 2.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 1.0
1.0 0.0 0.0
1.0 0.0 0.0
3.0 0.0 0.0
2.0 0.0 1.0
1.0 0.0 0.0
1.0 0.0 0.0
10.0 0.0 0.0
0.0 0.0 0.0
2.0 0.0 4.0
0.0 0.0 0.0
8.0 0.0 5.0
1.0 0.0 0.0
0.0 0.0 0.0
3.0 0.0 0.0
1.0 0.0 0.0
10.0 0.0 1.0
1.0 0.0 0.0
9.0 1.0 1.0
0.0 0.0 0.0
21.0 2.0 1.0
1.0 0.0 0.0
0.0 0.0 0.0
28.0 23.0 113.0
1.0 1.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
3.0 1.0 1.0
3.0 0.0 2.0
5.0 1.0 1.0
14.0 1.0 1.0
1.0 0.0 0.0
5.0 0.0 1.0
56.0 9.0 73.0
9.0 1.0 72.0
1.0 0.0 0.0
2.0 0.0 1.0
1.0 0.0 1.0
0.0 0.0 0.0
17.0 1.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
5.0 0.0 2.0
1.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
4.0 0.0 1.0
2.0 2.0 1.0
2.0 0.0 0.0
9.0 0.0 0.0
13.0 0.0 1.0
2.0 1.0 1.0
0.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
8.0 1.0 31.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
5.0 1.0 0.0
28.0 3.0 14.0
1.0 0.0 1.0
5.0 0.0 0.0
1.0 5.0 79.0
1.0 0.0 0.0
17.0 31.0 9.0
1.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
3.0 0.0 1.0
0.0 0.0 0.0
7.0 1.0 6.0
3.0 15.0 5.0
10.0 0.0 0.0
6.0 1.0 8.0
2.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 1.0 21.0
7.0 0.0 4.0
2.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
12.0 0.0 0.0
1.0 0.0 0.0
9.0 1.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
3.0 0.0 0.0
6.0 1.0 1.0
2.0 0.0 0.0
6.0 0.0 0.0
8.0 1.0 0.0
1.0 0.0 0.0
1.0 0.0 1.0
1.0 0.0 0.0
2.0 0.0 0.0
12.0 3.0 10.0
1.0 0.0 0.0
3.0 1.0 0.0
0.0 0.0 0.0
8.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
2.0 0.0 0.0
3.0 0.0 0.0
8.0 1.0 1.0
6.0 3.0 0.0
4.0 1.0 1.0
3.0 0.0 0.0
8.0 0.0 1.0
0.0 0.0 0.0
29.0 16.0 220.0
1.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
6.0 4.0 1.0
7.0 1.0 1.0
5.0 0.0 0.0
1.0 0.0 0.0
6.0 1.0 2.0
3.0 0.0 0.0
2.0 0.0 1.0
16.0 1.0 9.0
1.0 2.0 1.0
1.0 0.0 0.0
4.0 0.0 1.0
1.0 0.0 0.0
17.0 1.0 3.0
0.0 0.0 0.0
1.0 0.0 0.0
4.0 0.0 1.0
1.0 0.0 1.0
1.0 0.0 0.0
26.0 1.0 99.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 1.0
16.0 1.0 1.0
2.0 0.0 0.0
1.0 0.0 0.0
1.0 1.0 13.0
11.0 5.0 1.0
1.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
8.0 1.0 1.0
2.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 23.0
0.0 0.0 0.0
1.0 0.0 0.0
11.0 1.0 1.0
0.0 0.0 0.0
2.0 0.0 0.0
9.0 1.0 1.0
22.0 1.0 4.0
7.0 1.0 1.0
21.0 0.0 18.0
0.0 0.0 0.0
0.0 0.0 0.0
9.0 1.0 8.0
1.0 0.0 0.0
7.0 0.0 2.0
2.0 0.0 0.0
1.0 0.0 0.0
2.0 0.0 1.0
24.0 3.0 1.0
1.0 0.0 0.0
3.0 1.0 0.0
6.0 1.0 8.0
0.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
21.0 1.0 14.0
10.0 6.0 65.0
1.0 0.0 0.0
23.0 5.0 67.0
10.0 0.0 0.0
4.0 0.0 0.0
3.0 1.0 1.0
1.0 0.0 0.0
3.0 1.0 0.0
0.0 0.0 0.0
16.0 0.0 1.0
1.0 1.0 0.0
4.0 0.0 5.0
2.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 1.0
1.0 0.0 0.0
40.0 2.0 27.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
4.0 2.0 1.0
2.0 1.0 1.0
11.0 1.0 51.0
0.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
50.0 17.0 81.0
1.0 0.0 0.0
19.0 1.0 1.0
5.0 2.0 0.0
3.0 1.0 1.0
0.0 0.0 0.0
7.0 10.0 105.0
38.0 1.0 98.0
14.0 3.0 32.0
37.0 9.0 186.0
12.0 0.0 1.0
1.0 0.0 0.0
2.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
7.0 1.0 1.0
8.0 1.0 1.0
1.0 0.0 1.0
4.0 1.0 1.0
0.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
4.0 1.0 1.0
1.0 0.0 0.0
5.0 1.0 1.0
6.0 1.0 1.0
1.0 0.0 0.0
0.0 0.0 0.0
11.0 3.0 1.0
22.0 3.0 1.0
3.0 1.0 1.0
6.0 0.0 0.0
1.0 0.0 0.0
9.0 1.0 0.0
5.0 0.0 1.0
2.0 0.0 0.0
4.0 1.0 0.0
1.0 0.0 0.0
19.0 3.0 4.0
1.0 0.0 0.0
0.0 0.0 0.0
12.0 6.0 2.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
3.0 1.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
16.0 1.0 6.0
3.0 0.0 0.0
13.0 3.0 48.0
4.0 1.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
3.0 0.0 0.0
13.0 0.0 1.0
11.0 3.0 278.0
1.0 0.0 0.0
9.0 2.0 1.0
4.0 1.0 1.0
9.0 1.0 7.0
45.0 17.0 125.0
4.0 0.0 59.0
2.0 0.0 0.0
2.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
2.0 0.0 1.0
2.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 1.0
3.0 0.0 15.0
1.0 0.0 0.0
22.0 1.0 1.0
1.0 0.0 0.0
75.0 59.0 105.0
43.0 18.0 127.0
16.0 1.0 1.0
0.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
14.0 1.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
41.0 49.0 405.0
1.0 0.0 0.0
1.0 0.0 1.0
13.0 3.0 29.0
1.0 0.0 0.0
1.0 0.0 0.0
9.0 1.0 1.0
1.0 0.0 0.0
39.0 14.0 3.0
4.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
10.0 2.0 13.0
29.0 1.0 10.0
0.0 0.0 0.0
14.0 0.0 32.0
1.0 0.0 1.0
4.0 0.0 4.0
1.0 0.0 0.0
2.0 1.0 1.0
0.0 0.0 0.0
2.0 0.0 0.0
21.0 0.0 2.0
3.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
5.0 0.0 0.0
31.0 2.0 41.0
1.0 0.0 0.0
1.0 0.0 0.0
5.0 1.0 1.0
5.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
2.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
4.0 0.0 1.0
3.0 0.0 2.0
1.0 0.0 0.0
3.0 1.0 1.0
7.0 0.0 0.0
6.0 2.0 17.0
0.0 0.0 0.0
2.0 0.0 0.0
5.0 1.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
15.0 0.0 52.0
0.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 1.0
5.0 0.0 0.0
1.0 0.0 0.0
2.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
5.0 0.0 1.0
1.0 0.0 0.0
1.0 0.0 0.0
14.0 0.0 5.0
0.0 0.0 0.0
10.0 1.0 1.0
4.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 2.0
2.0 1.0 10.0
1.0 0.0 0.0
1.0 0.0 0.0
12.0 1.0 6.0
3.0 1.0 6.0
7.0 0.0 0.0
4.0 1.0 11.0
2.0 0.0 0.0
1.0 0.0 0.0
1.0 1.0 1.0
0.0 0.0 0.0
1.0 0.0 0.0
2.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
28.0 4.0 3.0
1.0 0.0 0.0
19.0 5.0 133.0
3.0 0.0 0.0
5.0 0.0 0.0
1.0 0.0 1.0
1.0 0.0 0.0
1.0 0.0 1.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
14.0 1.0 0.0
15.0 2.0 10.0
2.0 0.0 1.0
5.0 1.0 1.0
1.0 0.0 0.0
4.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
3.0 1.0 11.0
1.0 0.0 0.0
6.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
4.0 0.0 1.0
34.0 2.0 2.0
1.0 0.0 0.0
2.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
17.0 0.0 0.0
31.0 23.0 299.0
4.0 0.0 0.0
11.0 1.0 1.0
27.0 3.0 43.0
0.0 0.0 0.0
1.0 0.0 0.0
5.0 0.0 0.0
0.0 0.0 0.0
5.0 1.0 0.0
2.0 0.0 0.0
1.0 0.0 1.0
3.0 0.0 0.0
2.0 1.0 0.0
1.0 0.0 0.0
5.0 0.0 0.0
32.0 1.0 0.0
3.0 0.0 1.0
1.0 0.0 0.0
1.0 0.0 0.0
4.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
2.0 0.0 0.0
1.0 0.0 0.0
2.0 0.0 1.0
0.0 0.0 0.0
1.0 0.0 1.0
1.0 0.0 0.0
2.0 1.0 8.0
2.0 0.0 1.0
0.0 0.0 0.0
2.0 0.0 0.0
1.0 1.0 1.0
1.0 0.0 0.0
0.0 0.0 0.0
17.0 5.0 113.0
32.0 4.0 39.0
1.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
18.0 1.0 1.0
23.0 2.0 55.0
5.0 0.0 1.0
1.0 0.0 0.0
1.0 0.0 1.0
3.0 0.0 1.0
1.0 0.0 0.0
5.0 1.0 7.0
1.0 0.0 0.0
9.0 1.0 1.0
1.0 0.0 0.0
0.0 0.0 0.0
15.0 2.0 4.0
22.0 11.0 27.0
2.0 0.0 0.0
6.0 0.0 0.0
1.0 0.0 0.0
2.0 0.0 0.0
2.0 1.0 2.0
18.0 3.0 3.0
6.0 1.0 0.0
0.0 0.0 0.0
17.0 1.0 77.0
2.0 1.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
9.0 1.0 1.0
7.0 3.0 1.0
6.0 0.0 0.0
2.0 1.0 0.0
3.0 0.0 0.0
4.0 0.0 1.0
3.0 0.0 0.0
9.0 1.0 2.0
6.0 1.0 0.0
19.0 2.0 7.0
17.0 11.0 6.0
1.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 4.0
4.0 0.0 1.0
0.0 0.0 0.0
3.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
6.0 1.0 0.0
9.0 1.0 38.0
1.0 1.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
1.0 3.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
1.0 1.0 0.0
8.0 1.0 0.0
7.0 0.0 0.0
7.0 0.0 1.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
18.0 1.0 99.0
2.0 0.0 0.0
1.0 0.0 1.0
1.0 0.0 0.0
28.0 4.0 52.0
1.0 0.0 0.0
1.0 0.0 0.0
4.0 0.0 1.0
6.0 1.0 1.0
1.0 0.0 0.0
4.0 1.0 3.0
1.0 0.0 0.0
21.0 1.0 1.0
0.0 0.0 0.0
35.0 18.0 44.0
0.0 0.0 0.0
13.0 0.0 1.0
7.0 3.0 0.0
6.0 0.0 0.0
1.0 0.0 0.0
10.0 1.0 1.0
6.0 1.0 0.0
1.0 1.0 0.0
0.0 0.0 0.0
8.0 4.0 5.0
1.0 0.0 0.0
1.0 0.0 1.0
1.0 0.0 0.0
11.0 1.0 0.0
17.0 0.0 1.0
1.0 0.0 0.0
0.0 0.0 0.0
2.0 0.0 0.0
2.0 0.0 27.0
2.0 0.0 0.0
4.0 1.0 54.0
0.0 0.0 0.0
1.0 0.0 0.0
5.0 0.0 0.0
0.0 0.0 0.0
2.0 0.0 0.0
8.0 0.0 1.0
2.0 0.0 1.0
1.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 4.0
0.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
4.0 1.0 0.0
1.0 0.0 0.0
5.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 1.0
0.0 0.0 0.0
4.0 1.0 4.0
1.0 1.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
1.0 1.0 1.0
0.0 0.0 0.0
1.0 0.0 0.0
4.0 0.0 0.0
3.0 0.0 16.0
2.0 1.0 63.0
0.0 0.0 0.0
1.0 1.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
3.0 1.0 1.0
6.0 1.0 0.0
0.0 0.0 0.0
1.0 0.0 1.0
0.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
2.0 0.0 1.0
1.0 0.0 0.0
6.0 0.0 0.0
1.0 0.0 0.0
7.0 0.0 3.0
4.0 2.0 1.0
0.0 0.0 0.0
58.0 60.0 242.0
0.0 0.0 0.0
15.0 0.0 0.0
2.0 0.0 1.0
5.0 0.0 2.0
1.0 0.0 0.0
16.0 9.0 1.0
6.0 1.0 0.0
1.0 0.0 0.0
10.0 0.0 2.0
16.0 5.0 1.0
1.0 0.0 0.0
1.0 1.0 2.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
8.0 2.0 8.0
2.0 0.0 0.0
5.0 1.0 1.0
1.0 0.0 0.0
3.0 0.0 0.0
8.0 9.0 20.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
2.0 0.0 1.0
0.0 0.0 0.0
8.0 0.0 11.0
69.0 36.0 347.0
0.0 0.0 0.0
1.0 0.0 1.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 1.0 0.0
2.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
4.0 0.0 1.0
5.0 0.0 1.0
23.0 18.0 87.0
1.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 1.0
1.0 0.0 0.0
23.0 6.0 12.0
0.0 0.0 0.0
4.0 0.0 1.0
1.0 0.0 0.0
2.0 0.0 0.0
1.0 0.0 0.0
18.0 0.0 2.0
1.0 0.0 0.0
2.0 0.0 1.0
1.0 0.0 0.0
12.0 0.0 0.0
9.0 2.0 5.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
2.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
3.0 1.0 0.0
22.0 2.0 22.0
1.0 1.0 0.0
0.0 0.0 0.0
8.0 0.0 1.0
4.0 1.0 1.0
7.0 1.0 1.0
27.0 9.0 10.0
14.0 2.0 122.0
19.0 12.0 2.0
3.0 2.0 4.0
1.0 0.0 0.0
3.0 0.0 0.0
1.0 0.0 0.0
6.0 1.0 25.0
1.0 0.0 0.0
5.0 2.0 1.0
4.0 0.0 1.0
3.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 1.0
17.0 1.0 2.0
30.0 1.0 13.0
1.0 0.0 1.0
3.0 1.0 0.0
0.0 0.0 0.0
1.0 0.0 1.0
1.0 0.0 0.0
0.0 0.0 0.0
7.0 1.0 1.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
5.0 0.0 0.0
56.0 8.0 216.0
1.0 0.0 0.0
32.0 7.0 29.0
11.0 1.0 0.0
1.0 0.0 0.0
25.0 0.0 62.0
1.0 0.0 0.0
21.0 2.0 92.0
2.0 0.0 1.0
1.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 1.0
2.0 0.0 0.0
1.0 0.0 0.0
3.0 1.0 1.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
35.0 4.0 35.0
1.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
2.0 0.0 1.0
6.0 0.0 0.0
18.0 1.0 1.0
0.0 0.0 0.0
9.0 0.0 1.0
5.0 1.0 4.0
5.0 1.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
9.0 0.0 1.0
1.0 0.0 0.0
3.0 0.0 1.0
0.0 0.0 0.0
12.0 1.0 56.0
1.0 0.0 0.0
1.0 0.0 1.0
5.0 1.0 8.0
45.0 8.0 131.0
1.0 0.0 0.0
5.0 1.0 1.0
1.0 0.0 0.0
0.0 0.0 0.0
1.0 1.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
24.0 1.0 1.0
1.0 0.0 1.0
9.0 5.0 14.0
3.0 1.0 12.0
51.0 29.0 422.0
1.0 1.0 0.0
2.0 1.0 0.0
15.0 12.0 14.0
1.0 0.0 0.0
2.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
4.0 1.0 1.0
1.0 0.0 0.0
2.0 1.0 1.0
7.0 0.0 2.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
37.0 5.0 0.0
17.0 1.0 1.0
4.0 1.0 0.0
1.0 0.0 0.0
3.0 0.0 1.0
12.0 3.0 1.0
5.0 0.0 1.0
4.0 0.0 1.0
2.0 0.0 1.0
2.0 0.0 0.0
1.0 0.0 1.0
1.0 0.0 0.0
1.0 0.0 0.0
16.0 0.0 0.0
1.0 0.0 0.0
13.0 1.0 1.0
2.0 0.0 1.0
21.0 45.0 2.0
1.0 0.0 0.0
7.0 9.0 2.0
26.0 1.0 2.0
11.0 0.0 36.0
13.0 5.0 1.0
1.0 0.0 0.0
2.0 0.0 1.0
4.0 1.0 0.0
1.0 0.0 0.0
4.0 0.0 0.0
1.0 1.0 0.0
4.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
5.0 0.0 1.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 1.0
1.0 0.0 0.0
2.0 1.0 33.0
0.0 0.0 0.0
10.0 1.0 1.0
0.0 0.0 0.0
1.0 0.0 0.0
3.0 1.0 22.0
0.0 0.0 0.0
9.0 1.0 1.0
1.0 0.0 1.0
6.0 1.0 1.0
2.0 0.0 1.0
0.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
26.0 14.0 36.0
0.0 0.0 0.0
1.0 0.0 0.0
20.0 1.0 2.0
1.0 0.0 0.0
3.0 0.0 5.0
9.0 1.0 1.0
3.0 0.0 0.0
2.0 0.0 0.0
21.0 0.0 38.0
1.0 0.0 0.0
19.0 0.0 19.0
0.0 0.0 0.0
1.0 0.0 0.0
5.0 1.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
2.0 0.0 0.0
3.0 0.0 0.0
1.0 1.0 0.0
14.0 4.0 7.0
2.0 0.0 0.0
1.0 0.0 0.0
17.0 2.0 42.0
34.0 14.0 4.0
23.0 1.0 2.0
1.0 0.0 0.0
3.0 0.0 1.0
2.0 0.0 0.0
1.0 1.0 0.0
10.0 0.0 12.0
5.0 2.0 1.0
4.0 1.0 3.0
9.0 0.0 1.0
26.0 1.0 6.0
1.0 0.0 0.0
0.0 0.0 0.0
1.0 1.0 0.0
4.0 0.0 0.0
40.0 3.0 150.0
1.0 0.0 0.0
4.0 0.0 0.0
24.0 3.0 9.0
4.0 0.0 1.0
7.0 1.0 0.0
1.0 0.0 0.0
6.0 1.0 1.0
9.0 2.0 16.0
1.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 1.0
0.0 0.0 0.0
1.0 0.0 0.0
7.0 1.0 0.0
1.0 0.0 0.0
3.0 2.0 1.0
0.0 0.0 0.0
0.0 0.0 0.0
2.0 0.0 0.0
30.0 28.0 200.0
1.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
45.0 21.0 324.0
1.0 0.0 0.0
1.0 1.0 1.0
25.0 1.0 10.0
6.0 0.0 0.0
3.0 0.0 1.0
3.0 1.0 0.0
27.0 1.0 24.0
1.0 0.0 0.0
2.0 0.0 0.0
